ཤཱ་རིའི་བུ	nnn, Шарипутра
ལྟད་མོར	nnn, спектакль, шоу
འཐས	xxx, закреплять, затвердевать
བདེན་མེད	xxx, истинно не существует
བྱད་ཆུབ་སེམས	nnn, Ум пробуждения
ཡེ་ཤེས	nnn, изначальная мудрость
རྣམ་དག	adj, пречистый
སེམས་རྟོག	nnn, мысли, думать
སྐྱེ་བ་དུ་མར	nnn, низкорожденный
སྦྱངས་པ	nnn, практика
བྱང་ཆུབ་སེམས་དཔའ	nnn, Бодхисаттва, Пробудивший Ум
སྙིང་པོ	nnn, garbha, суть, сердцевина
རམ	 nnn, сосуд, ваза
ཛྙཱ་ན	nnn, Знание
ཌཀྐི་ནི	nnn, Дакини
རྡོ་རྫེ	nnn, ваджра, алмаз, нерушимый
པདྨ་ས་བྷ་ཝ	nnn, Падмасамбхава
སེམས་རྟོག	nnn, мысли, думать, умопостроения
འཁོར་ལོ	nnn, колесо, чакра
ཝ་ར་ཧི	nnn, Варахи
ས་མ་ཡཱ	nnn, самая, обязательство, обет
སེམས་ཅན=nnn, существоསེམས་ཅན	nnn, существо
	xxx, 
སེམས་ཅན	nnn, существо
